Country	Code	Population
Afghanistan	AFG	35320445
Albania	ALB	3215988
Algeria	DZA	35980193
American Samoa	ASM	69543
Andorra	AND	86165
Angola	AGO	19618432
Antigua and Barbuda	ATG	89612
Argentina	ARG	40764561
Armenia	ARM	3100236
Aruba	ABW	108141
Australia	AUS	22620600
Austria	AUT	8419000
Azerbaijan	AZE	9168000
Bahamas, The	BHS	347176
Bahrain	BHR	1323535
Bangladesh	BGD	150493658
Barbados	BRB	273925
Belarus	BLR	9473000
Belgium	BEL	11008000
Belize	BLZ	356600
Benin	BEN	9099922
Bermuda	BMU	64700
Bhutan	BTN	738267
Bolivia	BOL	10088108
Bosnia and Herzegovina	BIH	3752228
Botswana	BWA	2030738
Brazil	BRA	196655014
Brunei Darussalam	BRN	405938
Bulgaria	BGR	7476000
Burkina Faso	BFA	16967845
Burundi	BDI	8575172
Cambodia	KHM	14305183
Cameroon	CMR	20030362
Canada	CAN	34482779
Cape Verde	CPV	500585
Cayman Islands	CYM	56729
Central African Republic	CAF	4486837
Chad	TCD	11525496
Channel Islands	CHI	153876
Chile	CHL	17269525
China	CHN	1344130000
Colombia	COL	46927125
Comoros	COM	753943
Congo, Dem. Rep.	COD	67757577
Congo, Rep.	COG	4139748
Costa Rica	CRI	4726575
Cote d'Ivoire	CIV	20152894
Croatia	HRV	4407000
Cuba	CUB	11253665
Curacao	CUW	145619
Cyprus	CYP	1116564
Czech Republic	CZE	10546000
Denmark	DNK	5574000
Djibouti	DJI	905564
Dominica	DMA	67675
Dominican Republic	DOM	10056181
Ecuador	ECU	14666055
Egypt, Arab Rep.	EGY	82536770
El Salvador	SLV	6227491
Equatorial Guinea	GNQ	720213
Eritrea	ERI	5415280
Estonia	EST	1340000
Ethiopia	ETH	84734262
Faeroe Islands	FRO	48863
Fiji	FJI	868406
Finland	FIN	5387000
France	FRA	65436552
French Polynesia	PYF	273777
Gabon	GAB	1534262
Gambia, The	GMB	1776103
Georgia	GEO	4486000
Germany	DEU	81726000
Ghana	GHA	24965816
Greece	GRC	11304000
Greenland	GRL	56744
Grenada	GRD	104890
Guam	GUM	182111
Guatemala	GTM	14757316
Guinea	GIN	10221808
Guinea-Bissau	GNB	1547061
Guyana	GUY	756040
Haiti	HTI	10123787
Honduras	HND	7754687
Hong Kong SAR, China	HKG	7071600
Hungary	HUN	9971000
Iceland	ISL	319000
India	IND	1241491960
Indonesia	IDN	242325638
Iran, Islamic Rep.	IRN	74798599
Iraq	IRQ	32961959
Ireland	IRL	4487000
Isle of Man	IMN	83327
Israel	ISR	7765700
Italy	ITA	60770000
Jamaica	JAM	2709300
Japan	JPN	127817277
Jordan	JOR	6181000
Kazakhstan	KAZ	16558459
Kenya	KEN	41609728
Kiribati	KIR	101093
Korea, Dem. Rep.	PRK	24451285
Korea, Rep.	KOR	49779000
Kosovo	KSV	1794303
Kuwait	KWT	2818042
Kyrgyz Republic	KGZ	5507000
Lao PDR	LAO	6288037
Latvia	LVA	2220000
Lebanon	LBN	4259405
Lesotho	LSO	2193843
Liberia	LBR	4128572
Libya	LBY	6422772
Liechtenstein	LIE	36304
Lithuania	LTU	3203000
Luxembourg	LUX	517000
Macao SAR, China	MAC	555731
Macedonia, FYR	MKD	2063893
Madagascar	MDG	21315135
Malawi	MWI	15380888
Malaysia	MYS	28859154
Maldives	MDV	320081
Mali	MLI	15839538
Malta	MLT	419000
Marshall Islands	MHL	54816
Mauritania	MRT	3541540
Mauritius	MUS	1286051
Mexico	MEX	114793341
Micronesia, Fed. Sts.	FSM	111542
Moldova	MDA	3559000
Monaco	MCO	35427
Mongolia	MNG	2800114
Montenegro	MNE	632261
Morocco	MAR	32272974
Mozambique	MOZ	23929708
Myanmar	MMR	48336763
Namibia	NAM	2324004
Nepal	NPL	30485798
Netherlands	NLD	16696000
New Caledonia	NCL	249000
New Zealand	NZL	4405200
Nicaragua	NIC	5869859
Niger	NER	16068994
Nigeria	NGA	162470737
Northern Mariana Islands	MNP	61174
Norway	NOR	4952000
Oman	OMN	2846145
Pakistan	PAK	176745364
Palau	PLW	20609
Panama	PAN	3571185
Papua New Guinea	PNG	7013829
Paraguay	PRY	6568290
Peru	PER	29399817
Philippines	PHL	94852030
Poland	POL	38216000
Portugal	PRT	10637000
Puerto Rico	PRI	3706690
Qatar	QAT	1870041
Romania	ROU	21390000
Russian Federation	RUS	141930000
Rwanda	RWA	10942950
Samoa	WSM	183874
San Marino	SMR	31735
Sao Tome and Principe	STP	168526
Saudi Arabia	SAU	28082541
Senegal	SEN	12767556
Serbia	SRB	7261000
Seychelles	SYC	86000
Sierra Leone	SLE	5997486
Singapore	SGP	5183700
Sint Maarten (Dutch part)	SXM	36609
Slovak Republic	SVK	5440000
Slovenia	SVN	2052000
Solomon Islands	SLB	552267
Somalia	SOM	9556873
South Africa	ZAF	50586757
South Sudan	SSD	10314021
Spain	ESP	46235000
Sri Lanka	LKA	20869000
St. Kitts and Nevis	KNA	53051
St. Lucia	LCA	176000
St. Martin (French part)	MAF	30615
St. Vincent and the Grenadines	VCT	109365
Sudan	SDN	34318385
Suriname	SUR	529419
Swaziland	SWZ	1067773
Sweden	SWE	9453000
Switzerland	CHE	7907000
Syrian Arab Republic	SYR	20820311
Taiwan	TWN	23174528
Tajikistan	TJK	6976958
Tanzania	TZA	46218486
Thailand	THA	69518555
Timor-Leste	TLS	1175880
Togo	TGO	6154813
Tonga	TON	104509
Trinidad and Tobago	TTO	1346350
Tunisia	TUN	10673800
Turkey	TUR	73639596
Turkmenistan	TKM	5105301
Turks and Caicos Islands	TCA	39184
Tuvalu	TUV	9847
Uganda	UGA	34509205
Ukraine	UKR	45706100
United Arab Emirates	ARE	7890924
United Kingdom	GBR	62641000
United States	USA	311591917
Uruguay	URY	3368595
Uzbekistan	UZB	29341200
Vanuatu	VUT	245619
Venezuela, RB	VEN	29278000
Vietnam	VNM	87840000
Virgin Islands (U.S.)	VIR	109666
West Bank and Gaza	PSE	4019433
Yemen, Rep.	YEM	24799880
Zambia	ZMB	13474959
Zimbabwe	ZWE	12754378
