Timestamp	What's your age group?	What's your highest degree?	If applicable, what field of study was your highest degree in?	Did you finish the course?	How many years have you been programming?	How many hours, on average, did you spend per week on the course?	How difficult did you find the course overall?	Do you feel the course was worth the time you invested in it?	Would you take a follow-up functional programming in Scala course, if it were offered?	What is your preferred editor, for use outside of this course?	What editor did you end up using for the majority of the course?	What experience do you have with other programming languages or paradigms? [Java]	What experience do you have with other programming languages or paradigms? [C / C++ / Objective-C]	What experience do you have with other programming languages or paradigms? [Python / Ruby / Perl / other scripting language]	What experience do you have with other programming languages or paradigms? [C#/.NET]	What experience do you have with other programming languages or paradigms? [Objective-C]	What experience do you have with other programming languages or paradigms? [JavaScript]	What experience do you have with other programming languages or paradigms? [Haskell / OCaml / ML / F#]	What interested you in the Functional Programming Principles in Scala course?	Where do you plan to apply what you've learned in this course?	How difficult did you find the homework assignments?	What experience do you have with other programming languages or paradigms? [Lisp / Scheme / Clojure]	What country do you live in?
11/24/2013 4:11:08	25-34	Master's Degree (or equivalent)	Electrical Engineering	No	5-7 years	4-6 hours	4	5	5	Sublime Text	Sublime Text	I have some experience writing code	I have some experience writing code	I'm an expert	I have some experience writing code		I have some experience writing code	I have some experience writing code	Helps With Profession	Team project at work	4	I have some experience writing code	Switzerland
11/24/2013 4:23:27	35-44	Master's Degree (or equivalent)	Liberal Arts	Yes	0-1 years	4-6 hours	4	5	5	Eclipse	Eclipse	I'm fluent	No experience / not seen it at all	No experience / not seen it at all	No experience / not seen it at all		I have some experience writing code	No experience / not seen it at all	Helps With Profession	Individual project at work	3	No experience / not seen it at all	Israel
11/24/2013 4:27:38	18-24	Bachelor's Degree (or equivalent)	Computer Science	Yes	7-10 years	1-2 hours	3	5	4	Eclipse	Eclipse	I'm fluent	I have some experience writing code	I've seen and understand some code	I've seen and understand some code		I've seen and understand some code	I've seen and understand some code	Personal Interest/Curiosity	Personal projects	3	No experience / not seen it at all	Brazil
11/24/2013 4:27:47	25-34	Master's Degree (or equivalent)	Computer Science	Yes	7-10 years	8-10 hours	4	4	4	Eclipse	Eclipse	I'm an expert	I have some experience writing code	I have some experience writing code	I have some experience writing code		I have some experience writing code	No experience / not seen it at all	Helps With Profession	Individual project at work	4	No experience / not seen it at all	India
11/24/2013 4:28:00	35-44	Bachelor's Degree (or equivalent)	Computer Science	Yes	10-15 years	12+ hours	4	5	5	IntelliJ	Eclipse	I'm an expert	I'm fluent	No experience / not seen it at all	No experience / not seen it at all		I have some experience writing code	No experience / not seen it at all	Personal Interest/Curiosity	Personal projects	5	No experience / not seen it at all	United States
11/24/2013 4:28:09	35-44	Some College (or equivalent)	Computer Science	No	15-20 years	2-4 hours	3	3	4	Kate	kwrite	I'm fluent	I'm fluent	I'm fluent	I have some experience writing code		I'm fluent	No experience / not seen it at all	Personal Interest/Curiosity	No application plans, attended for general interest	3	I've seen and understand some code	Canada
11/24/2013 4:28:39	25-34	Bachelor's Degree (or equivalent)	Computer Science	Yes	10-15 years	1-2 hours	4	5	4	IntelliJ	IntelliJ	I have some experience writing code	I have some experience writing code	I'm fluent	I've seen and understand some code		I've seen and understand some code	No experience / not seen it at all	Personal Interest/Curiosity	Personal projects	4	I've seen and understand some code	United States
11/24/2013 4:29:16	35-44	Bachelor's Degree (or equivalent)	Fine Arts	Yes	5-7 years	4-6 hours	3	3	3	emacs	Eclipse	I've seen and understand some code	I have some experience writing code	I'm fluent	I've seen and understand some code		I'm fluent	I've seen and understand some code	Personal Interest/Curiosity	No application plans, attended for general interest	3	I have some experience writing code	Canada
11/24/2013 4:29:17	45-54	Master's Degree (or equivalent)	Statistics/Mathematics	Yes	20+ years	4-6 hours	3	5	5	emacs	emacs	I'm an expert	I'm fluent	I'm fluent	No experience / not seen it at all		I have some experience writing code	I've seen and understand some code	Personal Interest/Curiosity	Personal projects	3	I've seen and understand some code	United States
11/24/2013 4:29:40	25-34	Master's Degree (or equivalent)		Yes	5-7 years	6-8 hours	4	4	2	IntelliJ	Eclipse	I'm an expert	No experience / not seen it at all	I have some experience writing code	I have some experience writing code		I'm fluent	I have some experience writing code	Personal Interest/Curiosity	No application plans, attended for general interest	3	No experience / not seen it at all	United States
