Timestamp	What's your age group?	What's your highest degree?	If applicable, what field of study was your highest degree in?	Did you finish the course?	How many years have you been programming?	How many hours, on average, did you spend per week on the course?	How difficult did you find the course overall?	Do you feel the course was worth the time you invested in it?	Would you take a follow-up functional programming in Scala course, if it were offered?	What is your preferred editor, for use outside of this course?	What editor did you end up using for the majority of the course?	What experience do you have with other programming languages or paradigms? [Java]	What experience do you have with other programming languages or paradigms? [C / C++ / Objective-C]	What experience do you have with other programming languages or paradigms? [Python / Ruby / Perl / other scripting language]	What experience do you have with other programming languages or paradigms? [C#/.NET]	What experience do you have with other programming languages or paradigms? [Objective-C]	What experience do you have with other programming languages or paradigms? [JavaScript]	What experience do you have with other programming languages or paradigms? [Haskell / OCaml / ML / F#]	What interested you in the Functional Programming Principles in Scala course?	Where do you plan to apply what you've learned in this course?	How difficult did you find the homework assignments?	What experience do you have with other programming languages or paradigms? [Lisp / Scheme / Clojure]	What country do you live in?
11/8/2012 19:39:32	25-34	Bachelor's Degree (or equivalent)	Computer Science	Yes	3-5 years	2-4 hours	4	5	5	Eclipse	Eclipse	I'm fluent	I've seen and understand some code	I have some experience writing code	No experience / not seen it at all		No experience / not seen it at all	No experience / not seen it at all	Personal Interest/Curiosity	Personal projects	4	No experience / not seen it at all	Italy
11/8/2012 19:39:32	18-24	Master's Degree (or equivalent)	Computer Science	No	3-5 years	2-4 hours	4	5	5	TextMate	Eclipse	I'm fluent	I'm fluent	I have some experience writing code	I've seen and understand some code		I've seen and understand some code	No experience / not seen it at all	Personal Interest/Curiosity	No application plans, attended for general interest	4	I've seen and understand some code	United Kingdom
11/8/2012 19:40:03	18-24	Master's Degree (or equivalent)	Computer/Software Engineering	No	7-10 years	1-2 hours	3	5	4	vim	vim	I'm fluent	I have some experience writing code	I have some experience writing code	I've seen and understand some code		I'm an expert	I have some experience writing code	Helps With Profession	Team project at work	2	I have some experience writing code	France
11/8/2012 19:40:15	25-34	Some College (or equivalent)	Computer/Software Engineering	Yes	7-10 years	4-6 hours	3	5	5	NetBeans	Eclipse	I have some experience writing code	I have some experience writing code	I'm an expert	I've seen and understand some code		I'm an expert	I have some experience writing code	Helps With Profession	Team project at work	3	I have some experience writing code	Russian Federation
11/8/2012 19:40:22	18-24	Bachelor's Degree (or equivalent)	Computer Science	Yes	3-5 years	2-4 hours	3	5	5	IntelliJ	Eclipse	I'm fluent	I've seen and understand some code	I have some experience writing code	I've seen and understand some code		I have some experience writing code	No experience / not seen it at all	Personal Interest/Curiosity	No application plans, attended for general interest	2	I'm fluent	Belarus
11/8/2012 19:40:40	25-34	Bachelor's Degree (or equivalent)	Electrical Engineering	Yes	5-7 years	2-4 hours	3	4	4	Eclipse	Eclipse	I'm an expert	I've seen and understand some code	I've seen and understand some code	No experience / not seen it at all		No experience / not seen it at all	No experience / not seen it at all	Personal Interest/Curiosity	Personal projects	3	No experience / not seen it at all	Belarus
11/8/2012 19:40:59	18-24	High School (or equivalent)	Computer/Software Engineering	Yes	3-5 years	4-6 hours	3	5	5	IntelliJ	IntelliJ	I'm an expert	I've seen and understand some code	I'm fluent	I'm fluent		I've seen and understand some code	I've seen and understand some code	Personal Interest/Curiosity	University projects	2	I've seen and understand some code	Finland
11/8/2012 19:41:03	35-44	Bachelor's Degree (or equivalent)	Computer/Software Engineering	Yes	15-20 years	6-8 hours	4	5	4	Visual Studio	Eclipse	I have some experience writing code	I have some experience writing code	I'm fluent	I'm fluent		I'm fluent	I've seen and understand some code	Personal Interest/Curiosity	Individual project at work	3	No experience / not seen it at all	United States
11/8/2012 19:41:06	25-34	Some College (or equivalent)	Computer/Software Engineering	No	5-7 years	4-6 hours	3	5	4	Visual Studio	Eclipse	I'm fluent	I have some experience writing code	I have some experience writing code	I'm fluent		I'm fluent	I've seen and understand some code	University Studies	Personal projects	4	I have some experience writing code	Finland
11/8/2012 19:41:10	18-24	Some College (or equivalent)	Computer/Software Engineering	Yes	3-5 years	2-4 hours	2	5	4	IntelliJ	IntelliJ	I'm fluent	I have some experience writing code	I've seen and understand some code	I've seen and understand some code		I'm fluent	I've seen and understand some code	Helps With Profession	Individual project at work	3	No experience / not seen it at all	Russian Federation
11/8/2012 19:41:11	25-34	Bachelor's Degree (or equivalent)	Electrical Engineering	No	3-5 years	4-6 hours	3	4	3	Sublime Text	Eclipse	I have some experience writing code	I have some experience writing code	I'm fluent	I'm fluent		I have some experience writing code	I've seen and understand some code	Personal Interest/Curiosity	No application plans, attended for general interest	3	No experience / not seen it at all	United States
